type_of,id,title,description,readable_publish_date,slug,path,url,comments_count,public_reactions_count,collection_id,published_timestamp,language,subforem_id,ai_disclosure_level,ai_disclosure_label,positive_reactions_count,cover_image,social_image,canonical_url,created_at,edited_at,crossposted_at,published_at,last_comment_at,reading_time_minutes,tag_list,tags,user,flare_tag,organization
article,4448977,The Planner Made the Same 3 Mistakes Every Time. A Bigger Model Didn't Fix It.,"This is article 3 in a series about building PlannerCritic, an open-source engine where one LLM...",Aug 22,the-planner-made-the-same-3-mistakes-every-time-a-bigger-model-didnt-fix-it-3170,/debashish_ghosal/the-planner-made-the-same-3-mistakes-every-time-a-bigger-model-didnt-fix-it-3170,https://dev.to/debashish_ghosal/the-planner-made-the-same-3-mistakes-every-time-a-bigger-model-didnt-fix-it-3170,4,10,41913.0,2026-08-22T17:56:02Z,en,1,not_disclosed,Not Disclosed,10,"https://media2.dev.to/dynamic/image/width=1000,height=420,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.us-east-2.amazonaws.com%2Fuploads%2Farticles%2Fheh6tja9wqrksj7u108d.png","https://media2.dev.to/dynamic/image/width=1200,height=627,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.us-east-2.amazonaws.com%2Fuploads%2Farticles%2Fheh6tja9wqrksj7u108d.png",https://dev.to/debashish_ghosal/the-planner-made-the-same-3-mistakes-every-time-a-bigger-model-didnt-fix-it-3170,2026-08-21T02:31:45Z,2026-08-22T18:22:30Z,,2026-08-22T17:56:02Z,2026-08-22T21:55:57Z,5,"['ai', 'agents', 'llm', 'testing']","ai, agents, llm, testing","{'name': 'Debashish Ghosal', 'username': 'debashish_ghosal', 'twitter_username': None, 'github_username': 'deghosal-2026', 'user_id': 2217330, 'website_url': 'https://github.com/deghosal-2026/', 'profile_image': 'https://media2.dev.to/dynamic/image/width=640,height=640,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.us-east-2.amazonaws.com%2Fuploads%2Fuser%2Fprofile_image%2F2217330%2Fe7b1a584-ae94-490e-a80a-3b0df528f4aa.jpg', 'profile_image_90': 'https://media2.dev.to/dynamic/image/width=90,height=90,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.us-east-2.amazonaws.com%2Fuploads%2Fuser%2Fprofile_image%2F2217330%2Fe7b1a584-ae94-490e-a80a-3b0df528f4aa.jpg'}",,
article,4464629,My performance optimization silently disabled the feature the app exists for,This is a submission for DEV's Summer Bug Smash: Smash Stories.   TL;DR. I bounded a database read to...,Aug 23,my-performance-optimization-silently-disabled-the-feature-the-app-exists-for-2e1k,/arqamwd/my-performance-optimization-silently-disabled-the-feature-the-app-exists-for-2e1k,https://dev.to/arqamwd/my-performance-optimization-silently-disabled-the-feature-the-app-exists-for-2e1k,0,5,,2026-08-23T00:14:15Z,en,1,not_disclosed,Not Disclosed,5,,"https://media2.dev.to/dynamic/image/width=1200,height=627,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.us-east-2.amazonaws.com%2Fuploads%2Farticles%2F4p6s9yofrhfiii5lp2cx.png",https://dev.to/arqamwd/my-performance-optimization-silently-disabled-the-feature-the-app-exists-for-2e1k,2026-08-22T23:43:54Z,2026-08-23T00:16:58Z,,2026-08-23T00:14:15Z,2026-08-23T00:14:15Z,7,"['bugsmash', 'devchallenge', 'kotlin', 'testing']","bugsmash, devchallenge, kotlin, testing","{'name': 'Arqam Waheed', 'username': 'arqamwd', 'twitter_username': None, 'github_username': None, 'user_id': 3760002, 'website_url': 'https://whyrep.com', 'profile_image': 'https://media2.dev.to/dynamic/image/width=640,height=640,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.us-east-2.amazonaws.com%2Fuploads%2Fuser%2Fprofile_image%2F3760002%2Feb94d8d9-e8ef-4932-ab99-d07a12fe197b.jpeg', 'profile_image_90': 'https://media2.dev.to/dynamic/image/width=90,height=90,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.us-east-2.amazonaws.com%2Fuploads%2Fuser%2Fprofile_image%2F3760002%2Feb94d8d9-e8ef-4932-ab99-d07a12fe197b.jpeg'}",,
article,4456905,.NET 10 JSON Console Logging: Stop Parsing State.Message,The .NET 10 JSON console logging change is small enough to miss during an upgrade: the formatted...,Aug 22,net-10-json-console-logging-stop-parsing-statemessage-6p5,/ssukhpinder/net-10-json-console-logging-stop-parsing-statemessage-6p5,https://dev.to/ssukhpinder/net-10-json-console-logging-stop-parsing-statemessage-6p5,0,5,42514.0,2026-08-22T18:47:25Z,en,1,not_disclosed,Not Disclosed,5,,"https://media2.dev.to/dynamic/image/width=1200,height=627,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.us-east-2.amazonaws.com%2Fuploads%2Farticles%2Fnjq3y2z4hgu4swln6xmd.png",https://dev.to/ssukhpinder/net-10-json-console-logging-stop-parsing-statemessage-6p5,2026-08-21T21:55:52Z,,,2026-08-22T18:47:25Z,2026-08-22T18:47:25Z,4,"['dotnet', 'csharp', 'debugging', 'testing']","dotnet, csharp, debugging, testing","{'name': 'Sukhpinder Singh', 'username': 'ssukhpinder', 'twitter_username': 'sukhsukhpinder', 'github_username': 'ssukhpinder', 'user_id': 628027, 'website_url': 'https://medium.com/@singhsukhpinder', 'profile_image': 'https://media2.dev.to/dynamic/image/width=640,height=640,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.us-east-2.amazonaws.com%2Fuploads%2Fuser%2Fprofile_image%2F628027%2Fcfd80bd1-85eb-45d1-95c2-6fa4c5931782.png', 'profile_image_90': 'https://media2.dev.to/dynamic/image/width=90,height=90,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.us-east-2.amazonaws.com%2Fuploads%2Fuser%2Fprofile_image%2F628027%2Fcfd80bd1-85eb-45d1-95c2-6fa4c5931782.png'}",,
article,4464418,When Every Internal Check Passes and the Handoff Is Still Wrong,A handoff can be perfectly valid and still describe the wrong branch.  The failure that made this...,Aug 22,when-every-internal-check-passes-and-the-handoff-is-still-wrong-bfe,/boxofrecycling/when-every-internal-check-passes-and-the-handoff-is-still-wrong-bfe,https://dev.to/boxofrecycling/when-every-internal-check-passes-and-the-handoff-is-still-wrong-bfe,2,1,,2026-08-22T22:18:43Z,en,1,not_disclosed,Not Disclosed,1,,"https://media2.dev.to/dynamic/image/width=1200,height=627,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.us-east-2.amazonaws.com%2Fuploads%2Farticles%2Fpngwsoe1n0qvtomwxvdf.png",https://dev.to/boxofrecycling/when-every-internal-check-passes-and-the-handoff-is-still-wrong-bfe,2026-08-22T22:18:43Z,,,2026-08-22T22:18:43Z,2026-08-22T23:28:18Z,4,"['ai', 'agents', 'testing', 'python']","ai, agents, testing, python","{'name': 'scott', 'username': 'boxofrecycling', 'twitter_username': None, 'github_username': 'boxofrecycling', 'user_id': 4090196, 'website_url': None, 'profile_image': 'https://media2.dev.to/dynamic/image/width=640,height=640,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.us-east-2.amazonaws.com%2Fuploads%2Fuser%2Fprofile_image%2F4090196%2Feb953179-d6a2-4bc4-a47a-1e02a177e03d.jpg', 'profile_image_90': 'https://media2.dev.to/dynamic/image/width=90,height=90,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.us-east-2.amazonaws.com%2Fuploads%2Fuser%2Fprofile_image%2F4090196%2Feb953179-d6a2-4bc4-a47a-1e02a177e03d.jpg'}",,
article,4464283,I Kept Burning API Credits Every Time I Ran My Test Suite — Here's How I Fixed It,"I ran my test suite four times in a row one afternoon while debugging a flaky endpoint, and by the...",Aug 22,i-kept-burning-api-credits-every-time-i-ran-my-test-suite-heres-how-i-fixed-it-5gh8,/gerale30/i-kept-burning-api-credits-every-time-i-ran-my-test-suite-heres-how-i-fixed-it-5gh8,https://dev.to/gerale30/i-kept-burning-api-credits-every-time-i-ran-my-test-suite-heres-how-i-fixed-it-5gh8,0,0,,2026-08-22T21:42:55Z,en,1,not_disclosed,Not Disclosed,0,,"https://media2.dev.to/dynamic/image/width=1200,height=627,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.us-east-2.amazonaws.com%2Fuploads%2Farticles%2Fjfoh5b8o8rbuccf0kd5h.png",https://dev.to/gerale30/i-kept-burning-api-credits-every-time-i-ran-my-test-suite-heres-how-i-fixed-it-5gh8,2026-08-22T21:42:55Z,,,2026-08-22T21:42:55Z,2026-08-22T21:42:55Z,3,"['python', 'fastapi', 'testing', 'ai']","python, fastapi, testing, ai","{'name': 'Alejandro Garcia ', 'username': 'gerale30', 'twitter_username': None, 'github_username': 'GerAle30', 'user_id': 4072013, 'website_url': None, 'profile_image': 'https://media2.dev.to/dynamic/image/width=640,height=640,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.us-east-2.amazonaws.com%2Fuploads%2Fuser%2Fprofile_image%2F4072013%2F5c9157e2-c710-41bb-b487-0a35e158d5f5.jpg', 'profile_image_90': 'https://media2.dev.to/dynamic/image/width=90,height=90,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.us-east-2.amazonaws.com%2Fuploads%2Fuser%2Fprofile_image%2F4072013%2F5c9157e2-c710-41bb-b487-0a35e158d5f5.jpg'}",,
article,4463421,We Scored 17 Real Playwright Test Suites: The State of Playwright Quality in 2026,"Every managed QA vendor, including us, claims to write ""good"" Playwright tests. Almost none of that...",Aug 22,we-scored-17-real-playwright-test-suites-the-state-of-playwright-quality-in-2026-5eeh,/k4224/we-scored-17-real-playwright-test-suites-the-state-of-playwright-quality-in-2026-5eeh,https://dev.to/k4224/we-scored-17-real-playwright-test-suites-the-state-of-playwright-quality-in-2026-5eeh,0,0,,2026-08-22T18:03:16Z,en,1,not_disclosed,Not Disclosed,0,,"https://media2.dev.to/dynamic/image/width=1200,height=627,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.us-east-2.amazonaws.com%2Fuploads%2Farticles%2Fy27sy76r9dz5ft6qh413.png",https://qaguardian.com/blog/playwright-test-quality-2026,2026-08-22T18:03:16Z,,,2026-08-22T18:03:16Z,2026-08-22T18:03:16Z,6,"['playwright', 'testing', 'opensource', 'webdev']","playwright, testing, opensource, webdev","{'name': 'Keith Arters', 'username': 'k4224', 'twitter_username': None, 'github_username': None, 'user_id': 3907202, 'website_url': 'https://qaguardian.com/', 'profile_image': 'https://media2.dev.to/dynamic/image/width=640,height=640,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.us-east-2.amazonaws.com%2Fuploads%2Fuser%2Fprofile_image%2F3907202%2Fda883560-dc75-4188-a741-520040b99810.jpeg', 'profile_image_90': 'https://media2.dev.to/dynamic/image/width=90,height=90,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.us-east-2.amazonaws.com%2Fuploads%2Fuser%2Fprofile_image%2F3907202%2Fda883560-dc75-4188-a741-520040b99810.jpeg'}",,
article,4462916,Enforcing a style rule with a linter that actually fails the build,"Background   I run a fleet of static sites that publish new content every day, mostly...",Aug 22,enforcing-a-style-rule-with-a-linter-that-actually-fails-the-build-lj5,/takahiro_hashito_a1f3f0dc/enforcing-a-style-rule-with-a-linter-that-actually-fails-the-build-lj5,https://dev.to/takahiro_hashito_a1f3f0dc/enforcing-a-style-rule-with-a-linter-that-actually-fails-the-build-lj5,0,0,,2026-08-22T16:17:06Z,en,1,not_disclosed,Not Disclosed,0,,"https://media2.dev.to/dynamic/image/width=1200,height=627,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.us-east-2.amazonaws.com%2Fuploads%2Farticles%2Fbpbdgocxaqb5ty8zmkmp.png",https://dev.to/takahiro_hashito_a1f3f0dc/enforcing-a-style-rule-with-a-linter-that-actually-fails-the-build-lj5,2026-08-22T16:17:06Z,,,2026-08-22T16:17:06Z,2026-08-22T16:17:06Z,5,"['javascript', 'testing', 'webdev']","javascript, testing, webdev","{'name': 'takahiro hashito', 'username': 'takahiro_hashito_a1f3f0dc', 'twitter_username': None, 'github_username': None, 'user_id': 4034825, 'website_url': None, 'profile_image': 'https://media2.dev.to/dynamic/image/width=640,height=640,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.us-east-2.amazonaws.com%2Fuploads%2Fuser%2Fprofile_image%2F4034825%2F53da490d-7c5b-485b-ab9c-5eb796367bb5.jpg', 'profile_image_90': 'https://media2.dev.to/dynamic/image/width=90,height=90,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.us-east-2.amazonaws.com%2Fuploads%2Fuser%2Fprofile_image%2F4034825%2F53da490d-7c5b-485b-ab9c-5eb796367bb5.jpg'}",,
article,4462701,"Free AI Coding Credits Are a Benchmark, Not a Gift","Free AI coding credits are a measurement instrument, and most developers waste them by treating the...",Aug 22,free-ai-coding-credits-are-a-benchmark-not-a-gift-mn0,/apppro_5726/free-ai-coding-credits-are-a-benchmark-not-a-gift-mn0,https://dev.to/apppro_5726/free-ai-coding-credits-are-a-benchmark-not-a-gift-mn0,0,0,,2026-08-22T15:39:22Z,en,1,not_disclosed,Not Disclosed,0,,"https://media2.dev.to/dynamic/image/width=1200,height=627,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.us-east-2.amazonaws.com%2Fuploads%2Farticles%2Fzq1j9t5my1qjrhy7eeho.png",https://dev.to/apppro_5726/free-ai-coding-credits-are-a-benchmark-not-a-gift-mn0,2026-08-22T15:39:22Z,,,2026-08-22T15:39:22Z,2026-08-22T15:39:22Z,5,"['ai', 'opensource', 'programming', 'testing']","ai, opensource, programming, testing","{'name': 'Avery Wang', 'username': 'apppro_5726', 'twitter_username': None, 'github_username': None, 'user_id': 4066151, 'website_url': None, 'profile_image': 'https://media2.dev.to/dynamic/image/width=640,height=640,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.us-east-2.amazonaws.com%2Fuploads%2Fuser%2Fprofile_image%2F4066151%2Fd488ee67-914e-4031-8445-1442aec4f783.png', 'profile_image_90': 'https://media2.dev.to/dynamic/image/width=90,height=90,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.us-east-2.amazonaws.com%2Fuploads%2Fuser%2Fprofile_image%2F4066151%2Fd488ee67-914e-4031-8445-1442aec4f783.png'}",,
article,4461922,AI Is Changing What 'Correct Software' Means,"Software engineers used to define a ""Correct software"" via a simple deterministic binary an Expected...",Aug 22,ai-is-changing-what-correct-software-means-14hf,/majdizlitni/ai-is-changing-what-correct-software-means-14hf,https://dev.to/majdizlitni/ai-is-changing-what-correct-software-means-14hf,0,0,,2026-08-22T16:41:58Z,en,1,not_disclosed,Not Disclosed,0,"https://media2.dev.to/dynamic/image/width=1000,height=420,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.us-east-2.amazonaws.com%2Fuploads%2Farticles%2F3aqpbwkru3yfnt11vu40.jpg","https://media2.dev.to/dynamic/image/width=1200,height=627,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.us-east-2.amazonaws.com%2Fuploads%2Farticles%2F3aqpbwkru3yfnt11vu40.jpg",https://dev.to/majdizlitni/ai-is-changing-what-correct-software-means-14hf,2026-08-22T13:26:15Z,,,2026-08-22T16:41:58Z,2026-08-22T16:41:58Z,4,"['ai', 'architecture', 'softwareengineering', 'testing']","ai, architecture, softwareengineering, testing","{'name': 'Majdi Zlitni', 'username': 'majdizlitni', 'twitter_username': None, 'github_username': 'Majdi-Zlitni', 'user_id': 663655, 'website_url': 'https://majdiz.tn', 'profile_image': 'https://media2.dev.to/dynamic/image/width=640,height=640,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.us-east-2.amazonaws.com%2Fuploads%2Fuser%2Fprofile_image%2F663655%2Fc25e42cd-b11f-44d6-845f-44d0014ba343.jpg', 'profile_image_90': 'https://media2.dev.to/dynamic/image/width=90,height=90,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.us-east-2.amazonaws.com%2Fuploads%2Fuser%2Fprofile_image%2F663655%2Fc25e42cd-b11f-44d6-845f-44d0014ba343.jpg'}",,
article,4462649,Build Your AI Pipeline Like You Can't Afford Tokens,"Most AI-assisted development pipelines fail not because the models are weak, but because the teams...",Aug 22,build-your-ai-pipeline-like-you-cant-afford-tokens-3m1m,/techpy_768/build-your-ai-pipeline-like-you-cant-afford-tokens-3m1m,https://dev.to/techpy_768/build-your-ai-pipeline-like-you-cant-afford-tokens-3m1m,0,0,,2026-08-22T15:27:45Z,en,1,not_disclosed,Not Disclosed,0,,"https://media2.dev.to/dynamic/image/width=1200,height=627,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.us-east-2.amazonaws.com%2Fuploads%2Farticles%2Fm8eetwizej4aiifgo2y7.png",https://dev.to/techpy_768/build-your-ai-pipeline-like-you-cant-afford-tokens-3m1m,2026-08-22T15:27:45Z,,,2026-08-22T15:27:45Z,2026-08-22T15:27:45Z,4,"['ai', 'python', 'testing', 'discuss']","ai, python, testing, discuss","{'name': 'Riley Xu', 'username': 'techpy_768', 'twitter_username': None, 'github_username': None, 'user_id': 4064122, 'website_url': None, 'profile_image': 'https://media2.dev.to/dynamic/image/width=640,height=640,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.us-east-2.amazonaws.com%2Fuploads%2Fuser%2Fprofile_image%2F4064122%2F81031908-0a7e-4c0c-bc2d-8ad76b0e3519.png', 'profile_image_90': 'https://media2.dev.to/dynamic/image/width=90,height=90,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.us-east-2.amazonaws.com%2Fuploads%2Fuser%2Fprofile_image%2F4064122%2F81031908-0a7e-4c0c-bc2d-8ad76b0e3519.png'}","{'name': 'discuss', 'bg_color_hex': '#71EA8B', 'text_color_hex': '#FFFFFF'}",
